,title,location1,location2,location3,area,orientation,room_type,price
5564,整租·东欧逸璟 2室2厅 西南,城关区,东部,东欧逸璟,83.08㎡,西南,2室2厅1卫,2500
5565,整租·兰州包装印刷物资公司 2室1厅 东/西,城关区,西关南关,兰州包装印刷物资公司,65.00㎡,东 西,2室1厅1卫,2100
5566,整租·兰州市三十三中家属楼 2室1厅 东,城关区,兰大盘旋路,兰州市三十三中家属楼,75.00㎡,东,2室1厅1卫,2200
5567,整租·绿莹花园 2室2厅 南/北,城关区,大沙坪,绿莹花园,98.00㎡,南 北,2室2厅1卫,2000
5568,整租·长虹嘉园 2室1厅 西,城关区,五泉广场,长虹嘉园,70.00㎡,西,2室1厅1卫,2400
5569,整租·兰州市静安物业公司小区 2室2厅 东南,城关区,西关南关,兰州市静安物业公司小区,93.50㎡,东南,2室2厅1卫,2000
5570,整租·鼓楼巷住宅区 2室1厅 南/北,城关区,西关南关,鼓楼巷住宅区,72.09㎡,南 北,2室1厅1卫,2200
5571,整租·兰州军区司令部家属院（嘉峪关西路） 2室1厅 东,城关区,东部,兰州军区司令部家属院（嘉峪关西路）,69.94㎡,东,2室1厅1卫,2300
5572,整租·甘肃省外贸土产公司家属院 2室2厅 南/北,城关区,东部,甘肃省外贸土产公司家属院,100.00㎡,南 北,2室2厅1卫,2000
5573,整租·安定门外（安定门外社区） 2室2厅 东北,城关区,西关南关,安定门外（安定门外社区）,80.00㎡,东北,2室2厅1卫,2400
5574,整租·建行家属院（静宁路） 2室2厅 南/北,城关区,西关南关,建行家属院（静宁路）,100.00㎡,南 北,2室2厅1卫,2000
5575,整租·金雁花园 2室2厅 东/西,城关区,万达大润发,金雁花园,100.00㎡,东 西,2室2厅1卫,2400
5576,整租·滩尖子村（民房） 2室2厅 南/北,城关区,万达大润发,滩尖子村（民房）,80.79㎡,南 北,2室2厅1卫,2200
5577,整租·兰州市政公司家属院(五泉南路) 2室1厅 南/北,城关区,五泉广场,兰州市政公司家属院(五泉南路),76.00㎡,南 北,2室1厅1卫,2000
5578,整租·市工小院 2室1厅 南/北,城关区,五泉广场,市工小院,85.00㎡,南 北,2室1厅1卫,2000
5579,整租·雁滩路3566号 2室2厅 南/北,城关区,万达大润发,雁滩路3566号,76.35㎡,南 北,2室2厅1卫,2500
5580,整租·七建公司家属院（河水道） 2室1厅 东/西,城关区,东方红广场,七建公司家属院（河水道）,53.88㎡,东 西,2室1厅1卫,2200
5581,整租·穆柯寨小区 2室2厅 南/北,城关区,黄河北,穆柯寨小区,102.00㎡,南 北,2室2厅1卫,2300
5582,整租·和谐家园（火车站东路） 2室1厅 南/北,城关区,火车站,和谐家园（火车站东路）,85.33㎡,南 北,2室1厅1卫,2300
